"payment_id","order_id","payment_method","payment_status","currency","food_amount","delivery_fee","total_amount"
"PAY-000055","ORD-000055","card","paid","EUR",62.34,3.99,66.33
"PAY-000056","ORD-000056","google_pay","paid","EUR",14.07,1.49,15.56
"PAY-000057","ORD-000057","apple_pay","paid","EUR",47.21,3.99,51.20
"PAY-000058","ORD-000058","paypal","paid","EUR",66.32,3.99,70.31
"PAY-000059","ORD-000059","apple_pay","paid","EUR",40.87,3.99,44.86
"PAY-000060","ORD-000060","paypal","paid","EUR",67.21,3.99,71.20
"PAY-000061","ORD-000061","paypal","paid","EUR",9.98,3.99,13.97
"PAY-000062","ORD-000062","google_pay","paid","EUR",48.94,3.99,52.93
"PAY-000063","ORD-000063","apple_pay","paid","EUR",14.40,3.99,18.39
"PAY-000064","ORD-000064","card","refunded","EUR",61.82,0.00,61.82
"PAY-000065","ORD-000065","paypal","paid","EUR",34.79,3.99,38.78
"PAY-000066","ORD-000066","card","paid","EUR",48.46,0.00,48.46
"PAY-000067","ORD-000067","paypal","paid","EUR",36.55,3.99,40.54
"PAY-000068","ORD-000068","apple_pay","paid","EUR",38.79,0.00,38.79
"PAY-000069","ORD-000069","card","paid","EUR",51.74,3.99,55.73
"PAY-000070","ORD-000070","apple_pay","paid","EUR",10.80,3.99,14.79
"PAY-000071","ORD-000071","apple_pay","paid","EUR",11.28,3.99,15.27
"PAY-000072","ORD-000072","card","paid","EUR",57.84,0.00,57.84
"PAY-000073","ORD-000073","google_pay","paid","EUR",62.97,3.99,66.96
"PAY-000074","ORD-000074","paypal","paid","EUR",43.35,3.99,47.34
"PAY-000075","ORD-000075","google_pay","paid","EUR",45.33,3.99,49.32
"PAY-000076","ORD-000076","card","paid","EUR",37.37,3.99,41.36
"PAY-000077","ORD-000077","apple_pay","paid","EUR",10.92,1.49,12.41
"PAY-000078","ORD-000078","card","paid","EUR",39.48,0.00,39.48
"PAY-000079","ORD-000079","card","paid","EUR",66.18,0.00,66.18
"PAY-000080","ORD-000080","apple_pay","paid","EUR",53.95,0.00,53.95
"PAY-000081","ORD-000081","apple_pay","paid","EUR",18.58,3.99,22.57
"PAY-000082","ORD-000082","google_pay","paid","EUR",42.48,0.00,42.48
"PAY-000083","ORD-000083","card","refunded","EUR",40.41,3.99,44.40
"PAY-000084","ORD-000084","apple_pay","paid","EUR",27.12,3.99,31.11
"PAY-000085","ORD-000085","card","paid","EUR",38.96,0.00,38.96
"PAY-000086","ORD-000086","google_pay","paid","EUR",24.14,3.99,28.13
"PAY-000087","ORD-000087","apple_pay","paid","EUR",38.25,3.99,42.24
"PAY-000088","ORD-000088","card","paid","EUR",60.52,3.99,64.51
"PAY-000089","ORD-000089","google_pay","paid","EUR",28.04,3.99,32.03
"PAY-000090","ORD-000090","paypal","paid","EUR",45.81,0.00,45.81
"PAY-000091","ORD-000091","card","paid","EUR",16.30,0.00,16.30
"PAY-000092","ORD-000092","paypal","paid","EUR",65.97,3.99,69.96
"PAY-000093","ORD-000093","card","paid","EUR",36.28,3.99,40.27
"PAY-000094","ORD-000094","google_pay","paid","EUR",46.97,3.99,50.96
"PAY-000095","ORD-000095","apple_pay","paid","EUR",42.39,3.99,46.38
"PAY-000096","ORD-000096","apple_pay","paid","EUR",49.81,0.00,49.81
"PAY-000097","ORD-000097","google_pay","paid","EUR",51.32,3.99,55.31
"PAY-000098","ORD-000098","paypal","paid","EUR",50.76,0.00,50.76
"PAY-000099","ORD-000099","apple_pay","paid","EUR",8.71,3.99,12.70
"PAY-000100","ORD-000100","card","paid","EUR",37.20,3.99,41.19
